device_id,device_type
32,Smartphone
32,Smartphone
32,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
34,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
593,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
240,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
54,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
350,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
459,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
526,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
206,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
449,Smartphone
455,Smartphone
455,Smartphone
455,Smartphone
455,Smartphone
455,Smartphone
455,Smartphone
455,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
445,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
140,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
71,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
596,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
348,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
645,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
667,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
368,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
422,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
286,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
482,Smartphone
468,Smartphone
468,Smartphone
468,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
415,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
99,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
478,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
583,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
496,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
195,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
346,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
41,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
386,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
122,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
327,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
5,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
486,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
676,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
529,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
273,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
530,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
394,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
284,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
121,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
210,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
664,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
393,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
152,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
128,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
620,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
50,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
623,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
232,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
326,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
642,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
403,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
239,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
634,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
551,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
178,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
311,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
475,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
521,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
14,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
134,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
655,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
615,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
141,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
518,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
658,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
173,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
171,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
363,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
553,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
339,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
218,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
426,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
296,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
309,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
387,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
592,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
443,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
80,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
563,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
64,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
82,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
102,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
186,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
460,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
227,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
78,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
58,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
453,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
307,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
537,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
20,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
147,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
570,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
115,Smartphone
653,Smartphone
653,Smartphone
653,Smartphone
653,Smartphone
653,Smartphone
653,Smartphone
