SKU	            Device_Type
O-APSIP5CXG5	Smartphone
O-APSIP5CXG77	Smartphone
O-APSIP5CXG81	Smartphone
O-APSIP5CXG82	Smartphone
O-APSIP5CXG83	Smartphone
O-APSIP5CXG84	Smartphone
O-APSIP5CXG90	Smartphone
O-APSIP5CXG91	Smartphone
O-APSIP5CXG92	Smartphone
O-APSIP5CXG93	Smartphone
O-APSIP5CXG94	Smartphone
O-APSIP5SXD05	Smartphone
O-APSIP5SXD0	Smartphone
O-APSIP5SXG00	Smartphone
O-APSIP5SXG12	Smartphone
O-APSIP5SXG1	Smartphone
O-APSIP5SXG20	Smartphone
O-APSIP5SXG3	Smartphone
O-APSIP5SXG4	Smartphone
O-APSIP5SXG5	Smartphone
O-APSIP5SXG77	Smartphone
O-APSIP5SXG81	Smartphone
O-APSIP5SXG82	Smartphone
O-APSIP5SXG83	Smartphone
O-APSIP5SXG84	Smartphone
O-APSIP5SXG90	Smartphone
O-APSIP5SXG91	Smartphone
O-APSIP5SXG92	Smartphone
O-APSIP5SXG93	Smartphone
O-APSIP5SXG94	Smartphone
O-APSIP5XXD05	Smartphone
O-APSIP5XXD0	Smartphone
O-APSIP5XXG00	Smartphone
O-APSIP5XXG12	Smartphone
O-APSIP5XXG1	Smartphone
O-APSIP5XXG20	Smartphone
O-APSIP5XXG3	Smartphone
O-APSIP5XXG4	Smartphone
O-APSIP5XXG5	Smartphone
O-APSIP5XXG77	Smartphone
O-APSIP5XXG81	Smartphone
O-APSIP5XXG82	Smartphone
O-APSIP5XXG83	Smartphone
O-APSIP5XXG84	Smartphone
O-APSIP5XXG90	Smartphone
O-APSIP5XXG91	Smartphone
O-APSIP5XXG92	Smartphone
O-APSIP5XXG93	Smartphone
O-APSIP5XXG94	Smartphone
O-APSIP6PXD05	Smartphone
O-APSIP6PXD0	Smartphone
O-APSIP6PXF30	Smartphone
O-APSIP6PXF31	Smartphone
O-APSIP6PXG00	Smartphone
O-APSIP6PXG12	Smartphone
O-APSIP6PXG1	Smartphone
O-APSIP6PXG20	Smartphone
O-APSIP6PXG3	Smartphone
O-APSIP6PXG4	Smartphone
O-APSIP6PXG5	Smartphone
O-APSIP6PXG77	Smartphone
O-APSIP6PXG81	Smartphone
O-APSIP6PXG82	Smartphone
O-APSIP6PXG83	Smartphone
O-APSIP6PXG84	Smartphone
O-APSIP6PXG90	Smartphone
O-APSIP6PXG91	Smartphone
O-APSIP6PXG92	Smartphone
O-APSIP6PXG93	Smartphone
O-APSIP6PXG94	Smartphone
O-APSIP6SPD05	Smartphone
O-APSIP6SPF30	Smartphone
O-APSIP6SPF31	Smartphone
O-APSIP6SPF32	Smartphone
O-APSIP6SPG00	Smartphone
O-APSIP6SPG12	Smartphone
O-APSIP6SPG1	Smartphone
O-APSIP6SPG20	Smartphone
O-APSIP6SPG3	Smartphone
O-APSIP6SPG4	Smartphone
O-APSIP6SPG5	Smartphone
O-APSIP6SPG77	Smartphone
O-APSIP6SPG81	Smartphone
O-APSIP6SPG82	Smartphone
O-APSIP6SPG83	Smartphone
O-APSIP6SPG84	Smartphone
O-APSIP6SPG90	Smartphone
O-APSIP6SPG91	Smartphone
O-APSIP6SPG92	Smartphone
O-APSIP6SPG93	Smartphone
O-APSIP6SPG94	Smartphone
O-APSIP6SXD05	Smartphone
O-APSIP6SXD0	Smartphone
O-APSIP6SXF30	Smartphone
O-APSIP6SXF31	Smartphone
O-APSIP6SXF32	Smartphone
O-APSIP6SXG00	Smartphone
O-APSIP6SXG12	Smartphone
O-APSIP6SXG1	Smartphone
O-APSIP6SXG20	Smartphone
O-APSIP6SXG3	Smartphone
O-APSIP6SXG4	Smartphone
O-APSIP6SXG5	Smartphone
O-APSIP6SXG77	Smartphone
O-APSIP6SXG81	Smartphone
O-APSIP6SXG82	Smartphone
O-APSIP6SXG83	Smartphone
O-APSIP6SXG84	Smartphone
O-APSIP6SXG90	Smartphone
O-APSIP6SXG91	Smartphone
O-APSIP6SXG92	Smartphone
O-APSIP6SXG93	Smartphone
O-APSIP6SXG94	Smartphone
O-APSIP6XXD05	Smartphone
O-APSIP6XXD0	Smartphone
O-APSIP6XXF30	Smartphone
O-APSIP6XXF31	Smartphone
O-APSIP6XXG00	Smartphone
O-APSIP6XXG12	Smartphone
O-APSIP6XXG1	Smartphone
O-APSIP6XXG20	Smartphone
O-APSIP6XXG3	Smartphone
O-APSIP6XXG4	Smartphone
O-APSIP6XXG5	Smartphone
O-APSIP6XXG77	Smartphone
O-APSIP6XXG81	Smartphone
O-APSIP6XXG82	Smartphone
O-APSIP6XXG83	Smartphone
O-APSIP6XXG84	Smartphone
O-APSIP6XXG90	Smartphone
O-APSIP6XXG91	Smartphone
O-APSIP6XXG92	Smartphone
O-APSIP6XXG93	Smartphone
O-APSIP6XXG94	Smartphone
O-APSIP7PXD05	Smartphone
O-APSIP7PXD0	Smartphone
O-APSIP7PXF30	Smartphone
O-APSIP7PXF31	Smartphone
O-APSIP7PXF32	Smartphone
O-APSIP7PXG00	Smartphone
O-APSIP7PXG12	Smartphone
O-APSIP7PXG1	Smartphone
O-APSIP7PXG20	Smartphone
O-APSIP7PXG3	Smartphone
O-APSIP7PXG4	Smartphone
O-APSIP7PXG5	Smartphone
O-APSIP7PXG77	Smartphone
O-APSIP7PXG81	Smartphone
O-APSIP7PXG82	Smartphone
O-APSIP7PXG83	Smartphone
O-APSIP7PXG84	Smartphone
O-APSIP7PXG90	Smartphone
O-APSIP7PXG91	Smartphone
O-APSIP7PXG92	Smartphone
O-APSIP7PXG93	Smartphone
O-APSIP7PXG94	Smartphone
O-APSIP7XXD05	Smartphone
O-APSIP7XXD0	Smartphone
O-APSIP7XXF30	Smartphone
O-APSIP7XXF31	Smartphone
O-APSIP7XXF32	Smartphone
O-APSIP7XXG00	Smartphone
O-APSIP7XXG12	Smartphone
O-APSIP7XXG1	Smartphone
O-APSIP7XXG20	Smartphone
O-APSIP7XXG3	Smartphone
O-APSIP7XXG4	Smartphone
O-APSIP7XXG5	Smartphone
O-APSIP7XXG77	Smartphone
O-APSIP7XXG81	Smartphone
O-APSIP7XXG82	Smartphone
O-APSIP7XXG83	Smartphone
O-APSIP7XXG84	Smartphone
